method,target,target_type,metric,value,n_masked,repeat,mask_seed,mechanism,mask_rate
mean_mode,iop,continuous,mae,2.5148785326420406,3,0,20260724,mcar,0.2
mean_mode,iop,continuous,rmse,2.977835240068582,3,0,20260724,mcar,0.2
mean_mode,visual_acuity,continuous,mae,0.1299421700989719,4,0,20260724,mcar,0.2
mean_mode,visual_acuity,continuous,rmse,0.21661828237642736,4,0,20260724,mcar,0.2
mean_mode,diagnosis,categorical,accuracy,0.0,5,0,20260724,mcar,0.2
mean_mode,diagnosis,categorical,macro_precision,0.0,5,0,20260724,mcar,0.2
mean_mode,diagnosis,categorical,macro_recall,0.0,5,0,20260724,mcar,0.2
mean_mode,diagnosis,categorical,macro_f1,0.0,5,0,20260724,mcar,0.2
mean_mode,followup_status,categorical,accuracy,0.16666666666666666,6,0,20260724,mcar,0.2
mean_mode,followup_status,categorical,macro_precision,0.05555555555555555,6,0,20260724,mcar,0.2
mean_mode,followup_status,categorical,macro_recall,0.3333333333333333,6,0,20260724,mcar,0.2
mean_mode,followup_status,categorical,macro_f1,0.09523809523809523,6,0,20260724,mcar,0.2
knn,iop,continuous,mae,2.581205137344886,3,0,20260724,mcar,0.2
knn,iop,continuous,rmse,2.602863098493448,3,0,20260724,mcar,0.2
knn,visual_acuity,continuous,mae,0.14010642144939534,4,0,20260724,mcar,0.2
knn,visual_acuity,continuous,rmse,0.16257351524177638,4,0,20260724,mcar,0.2
knn,diagnosis,categorical,accuracy,1.0,5,0,20260724,mcar,0.2
knn,diagnosis,categorical,macro_precision,1.0,5,0,20260724,mcar,0.2
knn,diagnosis,categorical,macro_recall,1.0,5,0,20260724,mcar,0.2
knn,diagnosis,categorical,macro_f1,1.0,5,0,20260724,mcar,0.2
knn,followup_status,categorical,accuracy,0.8333333333333334,6,0,20260724,mcar,0.2
knn,followup_status,categorical,macro_precision,0.5,6,0,20260724,mcar,0.2
knn,followup_status,categorical,macro_recall,0.6666666666666666,6,0,20260724,mcar,0.2
knn,followup_status,categorical,macro_f1,0.5555555555555555,6,0,20260724,mcar,0.2
random_forest,iop,continuous,mae,1.1270239663273223,3,0,20260724,mcar,0.2
random_forest,iop,continuous,rmse,1.129036826544547,3,0,20260724,mcar,0.2
random_forest,visual_acuity,continuous,mae,0.13970444915251254,4,0,20260724,mcar,0.2
random_forest,visual_acuity,continuous,rmse,0.15125342595550836,4,0,20260724,mcar,0.2
random_forest,diagnosis,categorical,accuracy,1.0,5,0,20260724,mcar,0.2
random_forest,diagnosis,categorical,macro_precision,1.0,5,0,20260724,mcar,0.2
random_forest,diagnosis,categorical,macro_recall,1.0,5,0,20260724,mcar,0.2
random_forest,diagnosis,categorical,macro_f1,1.0,5,0,20260724,mcar,0.2
random_forest,followup_status,categorical,accuracy,0.8333333333333334,6,0,20260724,mcar,0.2
random_forest,followup_status,categorical,macro_precision,0.5,6,0,20260724,mcar,0.2
random_forest,followup_status,categorical,macro_recall,0.6666666666666666,6,0,20260724,mcar,0.2
random_forest,followup_status,categorical,macro_f1,0.5555555555555555,6,0,20260724,mcar,0.2
gradient_boosting,iop,continuous,mae,1.5198519805124235,3,0,20260724,mcar,0.2
gradient_boosting,iop,continuous,rmse,1.5638288543306358,3,0,20260724,mcar,0.2
gradient_boosting,visual_acuity,continuous,mae,0.1291992063525478,4,0,20260724,mcar,0.2
gradient_boosting,visual_acuity,continuous,rmse,0.13872121486698794,4,0,20260724,mcar,0.2
gradient_boosting,diagnosis,categorical,accuracy,1.0,5,0,20260724,mcar,0.2
gradient_boosting,diagnosis,categorical,macro_precision,1.0,5,0,20260724,mcar,0.2
gradient_boosting,diagnosis,categorical,macro_recall,1.0,5,0,20260724,mcar,0.2
gradient_boosting,diagnosis,categorical,macro_f1,1.0,5,0,20260724,mcar,0.2
gradient_boosting,followup_status,categorical,accuracy,0.8333333333333334,6,0,20260724,mcar,0.2
gradient_boosting,followup_status,categorical,macro_precision,0.5,6,0,20260724,mcar,0.2
gradient_boosting,followup_status,categorical,macro_recall,0.6666666666666666,6,0,20260724,mcar,0.2
gradient_boosting,followup_status,categorical,macro_f1,0.5555555555555555,6,0,20260724,mcar,0.2
plain_vae,iop,continuous,mae,0.8533752684053996,3,0,20260724,mcar,0.2
plain_vae,iop,continuous,rmse,1.072634986713036,3,0,20260724,mcar,0.2
plain_vae,visual_acuity,continuous,mae,0.16285839869322014,4,0,20260724,mcar,0.2
plain_vae,visual_acuity,continuous,rmse,0.17655641502213076,4,0,20260724,mcar,0.2
plain_vae,diagnosis,categorical,accuracy,1.0,5,0,20260724,mcar,0.2
plain_vae,diagnosis,categorical,macro_precision,1.0,5,0,20260724,mcar,0.2
plain_vae,diagnosis,categorical,macro_recall,1.0,5,0,20260724,mcar,0.2
plain_vae,diagnosis,categorical,macro_f1,1.0,5,0,20260724,mcar,0.2
plain_vae,followup_status,categorical,accuracy,0.8333333333333334,6,0,20260724,mcar,0.2
plain_vae,followup_status,categorical,macro_precision,0.5,6,0,20260724,mcar,0.2
plain_vae,followup_status,categorical,macro_recall,0.6666666666666666,6,0,20260724,mcar,0.2
plain_vae,followup_status,categorical,macro_f1,0.5555555555555555,6,0,20260724,mcar,0.2
sa_vae,iop,continuous,mae,0.9302147481259215,3,0,20260724,mcar,0.2
sa_vae,iop,continuous,rmse,1.1364757131188692,3,0,20260724,mcar,0.2
sa_vae,visual_acuity,continuous,mae,0.16316174168984088,4,0,20260724,mcar,0.2
sa_vae,visual_acuity,continuous,rmse,0.1981136525606534,4,0,20260724,mcar,0.2
sa_vae,diagnosis,categorical,accuracy,1.0,5,0,20260724,mcar,0.2
sa_vae,diagnosis,categorical,macro_precision,1.0,5,0,20260724,mcar,0.2
sa_vae,diagnosis,categorical,macro_recall,1.0,5,0,20260724,mcar,0.2
sa_vae,diagnosis,categorical,macro_f1,1.0,5,0,20260724,mcar,0.2
sa_vae,followup_status,categorical,accuracy,0.8333333333333334,6,0,20260724,mcar,0.2
sa_vae,followup_status,categorical,macro_precision,0.5,6,0,20260724,mcar,0.2
sa_vae,followup_status,categorical,macro_recall,0.6666666666666666,6,0,20260724,mcar,0.2
sa_vae,followup_status,categorical,macro_f1,0.5555555555555555,6,0,20260724,mcar,0.2
plain_vae_structured,iop,continuous,mae,1.7612424750796638,3,0,20260724,mcar,0.2
plain_vae_structured,iop,continuous,rmse,1.8971739056368213,3,0,20260724,mcar,0.2
plain_vae_structured,visual_acuity,continuous,mae,0.12142304434654376,4,0,20260724,mcar,0.2
plain_vae_structured,visual_acuity,continuous,rmse,0.14254882425449267,4,0,20260724,mcar,0.2
plain_vae_structured,diagnosis,categorical,accuracy,1.0,5,0,20260724,mcar,0.2
plain_vae_structured,diagnosis,categorical,macro_precision,1.0,5,0,20260724,mcar,0.2
plain_vae_structured,diagnosis,categorical,macro_recall,1.0,5,0,20260724,mcar,0.2
plain_vae_structured,diagnosis,categorical,macro_f1,1.0,5,0,20260724,mcar,0.2
plain_vae_structured,followup_status,categorical,accuracy,0.8333333333333334,6,0,20260724,mcar,0.2
plain_vae_structured,followup_status,categorical,macro_precision,0.5,6,0,20260724,mcar,0.2
plain_vae_structured,followup_status,categorical,macro_recall,0.6666666666666666,6,0,20260724,mcar,0.2
plain_vae_structured,followup_status,categorical,macro_f1,0.5555555555555555,6,0,20260724,mcar,0.2
sa_vae_structured,iop,continuous,mae,0.9070510545993914,3,0,20260724,mcar,0.2
sa_vae_structured,iop,continuous,rmse,1.2212791404799246,3,0,20260724,mcar,0.2
sa_vae_structured,visual_acuity,continuous,mae,0.17460913337662617,4,0,20260724,mcar,0.2
sa_vae_structured,visual_acuity,continuous,rmse,0.1979790628913534,4,0,20260724,mcar,0.2
sa_vae_structured,diagnosis,categorical,accuracy,1.0,5,0,20260724,mcar,0.2
sa_vae_structured,diagnosis,categorical,macro_precision,1.0,5,0,20260724,mcar,0.2
sa_vae_structured,diagnosis,categorical,macro_recall,1.0,5,0,20260724,mcar,0.2
sa_vae_structured,diagnosis,categorical,macro_f1,1.0,5,0,20260724,mcar,0.2
sa_vae_structured,followup_status,categorical,accuracy,0.8333333333333334,6,0,20260724,mcar,0.2
sa_vae_structured,followup_status,categorical,macro_precision,0.5,6,0,20260724,mcar,0.2
sa_vae_structured,followup_status,categorical,macro_recall,0.6666666666666666,6,0,20260724,mcar,0.2
sa_vae_structured,followup_status,categorical,macro_f1,0.5555555555555555,6,0,20260724,mcar,0.2
mean_mode,iop,continuous,mae,2.4908190123825857,3,1,20260725,mcar,0.2
mean_mode,iop,continuous,rmse,2.5630072892095295,3,1,20260725,mcar,0.2
mean_mode,visual_acuity,continuous,mae,0.29181636743880784,5,1,20260725,mcar,0.2
mean_mode,visual_acuity,continuous,rmse,0.33124482643979036,5,1,20260725,mcar,0.2
mean_mode,diagnosis,categorical,accuracy,0.0,6,1,20260725,mcar,0.2
mean_mode,diagnosis,categorical,macro_precision,0.0,6,1,20260725,mcar,0.2
mean_mode,diagnosis,categorical,macro_recall,0.0,6,1,20260725,mcar,0.2
mean_mode,diagnosis,categorical,macro_f1,0.0,6,1,20260725,mcar,0.2
mean_mode,followup_status,categorical,accuracy,0.3333333333333333,6,1,20260725,mcar,0.2
mean_mode,followup_status,categorical,macro_precision,0.16666666666666666,6,1,20260725,mcar,0.2
mean_mode,followup_status,categorical,macro_recall,0.5,6,1,20260725,mcar,0.2
mean_mode,followup_status,categorical,macro_f1,0.25,6,1,20260725,mcar,0.2
knn,iop,continuous,mae,0.6801850245064696,3,1,20260725,mcar,0.2
knn,iop,continuous,rmse,0.7460761699485434,3,1,20260725,mcar,0.2
knn,visual_acuity,continuous,mae,0.0949590077893866,5,1,20260725,mcar,0.2
knn,visual_acuity,continuous,rmse,0.09844301753419812,5,1,20260725,mcar,0.2
knn,diagnosis,categorical,accuracy,1.0,6,1,20260725,mcar,0.2
knn,diagnosis,categorical,macro_precision,1.0,6,1,20260725,mcar,0.2
knn,diagnosis,categorical,macro_recall,1.0,6,1,20260725,mcar,0.2
knn,diagnosis,categorical,macro_f1,1.0,6,1,20260725,mcar,0.2
knn,followup_status,categorical,accuracy,1.0,6,1,20260725,mcar,0.2
knn,followup_status,categorical,macro_precision,1.0,6,1,20260725,mcar,0.2
knn,followup_status,categorical,macro_recall,1.0,6,1,20260725,mcar,0.2
knn,followup_status,categorical,macro_f1,1.0,6,1,20260725,mcar,0.2
random_forest,iop,continuous,mae,0.7032402434937163,3,1,20260725,mcar,0.2
random_forest,iop,continuous,rmse,0.7828975199844777,3,1,20260725,mcar,0.2
random_forest,visual_acuity,continuous,mae,0.08672057780258725,5,1,20260725,mcar,0.2
random_forest,visual_acuity,continuous,rmse,0.094426110844511,5,1,20260725,mcar,0.2
random_forest,diagnosis,categorical,accuracy,1.0,6,1,20260725,mcar,0.2
random_forest,diagnosis,categorical,macro_precision,1.0,6,1,20260725,mcar,0.2
random_forest,diagnosis,categorical,macro_recall,1.0,6,1,20260725,mcar,0.2
random_forest,diagnosis,categorical,macro_f1,1.0,6,1,20260725,mcar,0.2
random_forest,followup_status,categorical,accuracy,1.0,6,1,20260725,mcar,0.2
random_forest,followup_status,categorical,macro_precision,1.0,6,1,20260725,mcar,0.2
random_forest,followup_status,categorical,macro_recall,1.0,6,1,20260725,mcar,0.2
random_forest,followup_status,categorical,macro_f1,1.0,6,1,20260725,mcar,0.2
gradient_boosting,iop,continuous,mae,1.3159658763453024,3,1,20260725,mcar,0.2
gradient_boosting,iop,continuous,rmse,1.4602454455597942,3,1,20260725,mcar,0.2
gradient_boosting,visual_acuity,continuous,mae,0.09672053137343997,5,1,20260725,mcar,0.2
gradient_boosting,visual_acuity,continuous,rmse,0.10176379648749127,5,1,20260725,mcar,0.2
gradient_boosting,diagnosis,categorical,accuracy,1.0,6,1,20260725,mcar,0.2
gradient_boosting,diagnosis,categorical,macro_precision,1.0,6,1,20260725,mcar,0.2
gradient_boosting,diagnosis,categorical,macro_recall,1.0,6,1,20260725,mcar,0.2
gradient_boosting,diagnosis,categorical,macro_f1,1.0,6,1,20260725,mcar,0.2
gradient_boosting,followup_status,categorical,accuracy,1.0,6,1,20260725,mcar,0.2
gradient_boosting,followup_status,categorical,macro_precision,1.0,6,1,20260725,mcar,0.2
gradient_boosting,followup_status,categorical,macro_recall,1.0,6,1,20260725,mcar,0.2
gradient_boosting,followup_status,categorical,macro_f1,1.0,6,1,20260725,mcar,0.2
plain_vae,iop,continuous,mae,1.2491933135243347,3,1,20260725,mcar,0.2
plain_vae,iop,continuous,rmse,1.3905434613757452,3,1,20260725,mcar,0.2
plain_vae,visual_acuity,continuous,mae,0.19747433496828362,5,1,20260725,mcar,0.2
plain_vae,visual_acuity,continuous,rmse,0.21361400951612403,5,1,20260725,mcar,0.2
plain_vae,diagnosis,categorical,accuracy,1.0,6,1,20260725,mcar,0.2
plain_vae,diagnosis,categorical,macro_precision,1.0,6,1,20260725,mcar,0.2
plain_vae,diagnosis,categorical,macro_recall,1.0,6,1,20260725,mcar,0.2
plain_vae,diagnosis,categorical,macro_f1,1.0,6,1,20260725,mcar,0.2
plain_vae,followup_status,categorical,accuracy,1.0,6,1,20260725,mcar,0.2
plain_vae,followup_status,categorical,macro_precision,1.0,6,1,20260725,mcar,0.2
plain_vae,followup_status,categorical,macro_recall,1.0,6,1,20260725,mcar,0.2
plain_vae,followup_status,categorical,macro_f1,1.0,6,1,20260725,mcar,0.2
sa_vae,iop,continuous,mae,0.3266280469930714,3,1,20260725,mcar,0.2
sa_vae,iop,continuous,rmse,0.4037950119048379,3,1,20260725,mcar,0.2
sa_vae,visual_acuity,continuous,mae,0.11637090416731359,5,1,20260725,mcar,0.2
sa_vae,visual_acuity,continuous,rmse,0.12060820871180616,5,1,20260725,mcar,0.2
sa_vae,diagnosis,categorical,accuracy,1.0,6,1,20260725,mcar,0.2
sa_vae,diagnosis,categorical,macro_precision,1.0,6,1,20260725,mcar,0.2
sa_vae,diagnosis,categorical,macro_recall,1.0,6,1,20260725,mcar,0.2
sa_vae,diagnosis,categorical,macro_f1,1.0,6,1,20260725,mcar,0.2
