method,target_type,metric,mechanism,mask_rate,mean,std,median,minimum,maximum,evaluation_units,masked_entries
mean_mode,categorical,accuracy,mnar,0.2,0.3,0.15153535218873174,0.26666666666666666,0.16666666666666666,0.5,4,18
mean_mode,categorical,accuracy,mcar,0.2,0.3125,0.375,0.25,0.0,0.75,4,15
mean_mode,categorical,accuracy,mar,0.2,0.38749999999999996,0.3473110997362451,0.4,0.0,0.75,4,23
plain_vae_structured,categorical,accuracy,mnar,0.2,0.6166666666666667,0.24113927126900786,0.65,0.3333333333333333,0.8333333333333334,4,18
sa_vae_structured,categorical,accuracy,mnar,0.2,0.6166666666666667,0.24113927126900786,0.65,0.3333333333333333,0.8333333333333334,4,18
knn,categorical,accuracy,mnar,0.2,0.7625,0.07248882417055497,0.775,0.6666666666666666,0.8333333333333334,4,18
plain_vae,categorical,accuracy,mnar,0.2,0.7625,0.07248882417055497,0.775,0.6666666666666666,0.8333333333333334,4,18
sa_vae,categorical,accuracy,mnar,0.2,0.7625,0.07248882417055497,0.775,0.6666666666666666,0.8333333333333334,4,18
plain_vae_structured,categorical,accuracy,mar,0.2,0.8625,0.11086778913041724,0.8500000000000001,0.75,1.0,4,23
sa_vae_structured,categorical,accuracy,mar,0.2,0.8625,0.11086778913041724,0.8500000000000001,0.75,1.0,4,23
gradient_boosting,categorical,accuracy,mnar,0.2,0.9083333333333333,0.10671873729054746,0.9166666666666667,0.8,1.0,4,18
random_forest,categorical,accuracy,mnar,0.2,0.9083333333333333,0.10671873729054746,0.9166666666666667,0.8,1.0,4,18
knn,categorical,accuracy,mar,0.2,0.925,0.09574271077563379,0.95,0.8,1.0,4,23
gradient_boosting,categorical,accuracy,mar,0.2,0.975,0.04999999999999998,1.0,0.9,1.0,4,23
plain_vae,categorical,accuracy,mar,0.2,0.975,0.04999999999999998,1.0,0.9,1.0,4,23
random_forest,categorical,accuracy,mar,0.2,0.975,0.04999999999999998,1.0,0.9,1.0,4,23
sa_vae,categorical,accuracy,mar,0.2,0.975,0.04999999999999998,1.0,0.9,1.0,4,23
gradient_boosting,categorical,accuracy,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
knn,categorical,accuracy,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
plain_vae,categorical,accuracy,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
plain_vae_structured,categorical,accuracy,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
random_forest,categorical,accuracy,mcar,0.2,1.0,0.0,1.0,1.0,1.0,4,15
